sample_index,image_id,question,ground_truth,prediction,latency_sec
410,2334914,On which side of the picture is the small bread?,left,Right,5.420314311981201
411,2406044,What color are the clouds?,white,White,5.522387981414795
412,2385274,What color is the ladder?,yellow,Brown,5.323265075683594
413,2343858,Which side of the image is the dryer on?,right,Left,5.489594221115112
414,2321943,On which side of the image is the backpack?,right,Right,5.310240030288696
415,1618,Does the cup have a different color than the desk?,no,Yes,5.529649972915649
416,2322984,"Which part of the image is the man in, the top or the bottom?",bottom,Bottom,5.354327201843262
417,2315383,What is the color of the water at the hillside?,gray,Blue,5.50199818611145
418,2367379,Which color is the fruit to the right of the people?,yellow,Red,5.3157689571380615
419,2386987,What is the size of the pot to the right of the person?,large,Small,5.529254198074341
420,2392969,On which side of the photo are the figurines?,right,Right,5.421584844589233
421,2390677,How large is the device of the oven?,small,Large,5.557674884796143
422,2404396,Is the dog that is to the left of the other dog colorful or is it black and white?,colorful,Colorful,5.488664865493774
423,2345207,Does the bright shirt have orange color?,no,No,5.522282123565674
424,2413910,"Which seem to be less healthy, the pizza or the peppers of the pizza?",pizza,Pizza,5.5173890590667725
425,2348670,Which side of the picture is the woman on?,right,Left,5.479698896408081
426,2382242,What color is the carpet?,blue,Blue,5.463081121444702
427,2335783,Do the sky and the wetsuit have a different colors?,no,Yes,5.419496774673462
428,2368153,Is the sky overcast and white?,no,Yes,5.515573978424072
429,2380477,Are the trousers white and striped?,yes,No,5.45743727684021
430,2384131,Is the sofa on the left side?,no,No,5.609431982040405
431,2834,What color is the bag the child holds?,green,Blue,5.442079067230225
432,2328226,How long is the hair?,short,Short,5.611725091934204
433,2353347,What color is the glove?,blue,Black,5.475965976715088
434,2376445,Is the small racket on the right side?,no,Yes,5.642597913742065
435,2412272,What color is the rope on the boat?,green,Black,5.448243141174316
436,2397589,Are the headphones in the top or in the bottom part?,bottom,Bottom,5.641683340072632
437,2346911,Is the person in the bottom of the photo?,no,Yes,5.5219879150390625
438,2351588,Which side of the picture is the crate on?,right,Left,5.610589981079102
439,2399462,Is the vehicle green and small?,no,No,5.523330926895142
440,2390939,Does the utensil on the plate look silver and real?,yes,Yes,5.518534183502197
441,2394430,On which side is the shelf?,left,Left,5.5531980991363525
442,2383280,Is the balcony white or black?,white,White,5.541263818740845
443,2318140,Does the boat at the pier look red?,no,No,5.614992141723633
444,2411294,Which color do you think the tail is?,orange,White,5.4762396812438965
445,2384254,Is the chair different in color than the sign?,no,No,5.597643136978149
446,2384006,Is the little girl on the left or on the right of the photo?,right,Right,5.41598916053772
447,2381096,What is she doing?,posing,Posing,5.65549898147583
448,2318574,Is the orange in the top part or in the bottom?,bottom,Bottom,5.4548139572143555
449,2400224,On which side of the image is the woman?,right,Left,5.601813077926636
450,341,What color is the motorbike on the right side?,black,Black,5.4611852169036865
451,2380720,Is the shirt black or orange?,orange,Orange,5.61899209022522
452,2342945,Which color do you think the device the ipod is to the right of is?,gray,Black,5.494315147399902
453,2410011,On which side of the photo is the TV?,right,Right,5.562989950180054
454,2385114,"In which part of the image is the shelf, the top or the bottom?",top,Top,5.579720973968506
455,2383583,On which side is the mirror?,right,Left,5.553844928741455
456,2346184,Is that sky white or blue?,blue,Blue,5.582849025726318
457,2353264,Which color is the umbrella the person is holding?,blue,Black,5.482163906097412
458,2368893,What tone does the coffee table made of wood have?,light,Light,5.6037211418151855
459,2405821,Is the flower near the leaf blue and little?,yes,No,5.506139039993286
460,2371272,Are both the door and the fence made of the same material?,no,Yes,5.668079137802124
461,2387036,On which side of the image is the wood chair?,right,Left,5.482117176055908
462,2378563,Is the vehicle to the left of the motorcycle white or brown?,brown,Brown,5.6208131313323975
463,2368239,"On which side of the image is the teddy bear, the left or the right?",right,Right,5.42977499961853
464,2385409,The container has which color?,silver,Silver,5.569962978363037
465,2410065,What's the girl doing?,posing,Standing,5.516335964202881
466,2403595,Is the color of the pillow the same as the blouse?,yes,Yes,5.585808992385864
467,2353078,What is the color of the potato to the right of the tomato?,red,Red,5.532693862915039
468,2396616,Is the door blue?,yes,No,5.589308261871338
469,1100,Are the tiles black?,no,No,5.536226749420166
470,2344499,"In which part of the photo is the screen, the bottom or the top?",bottom,Bottom,5.618614673614502
471,2366862,Does the animal next to the bath tub look large?,no,No,5.743929862976074
472,2340945,What is the long bat made of?,metal,Wood,5.670842885971069
473,2341861,Is the man on the left or on the right?,left,Left,5.905848741531372
474,2367541,Is the beer on the left?,no,No,5.795583963394165
475,2366877,Is the truck in the bottom or in the top part?,top,Top,6.17616605758667
476,2417051,Is the potato in the bottom or in the top part?,top,Bottom,6.115279912948608
477,2416539,What is the color of the shirt that the man is wearing?,brown,Gray,6.019710063934326
478,2351317,Does the colorful hat look red?,no,Yes,6.0725178718566895
479,2373574,Is the cup in the bottom part or in the top of the image?,top,Bottom,5.94451904296875
480,2390060,Is the truck different in color than the antenna?,no,No,6.111081123352051
481,2412066,Is the keyboard on the left side of the photo?,yes,No,5.902612924575806
482,2333864,Which color is the vase on the table?,gold,Gold,5.989301919937134
483,2365785,What do both the sign and the post have in common?,material,Color,5.931638956069946
484,2416361,Are the decorations blue or silver?,silver,Blue,5.861192941665649
485,2401064,"What color is the bathroom, beige or black?",beige,Beige,6.0285868644714355
486,2378302,What is the rhino doing?,drinking,Eating,6.390272855758667
487,2373168,Is the shirt white and short sleeved?,no,No,6.1036741733551025
488,2364995,Which side of the picture is the man on?,left,Right,5.889420986175537
489,2386495,Is the lamp shade square and white?,yes,No,5.893377065658569
490,2376999,What color is the roast beef to the left of the other roast beef?,red,Red,5.8889312744140625
491,2386337,Does the dark horse appear to be standing?,no,Yes,5.748309850692749
492,2346159,Does the frisbee have white color?,no,No,5.885283946990967
493,2411612,Are the people in the bottom of the photo?,yes,Yes,5.719563007354736
494,2384592,"Which color are the flames, orange or blue?",orange,Orange,5.867633819580078
495,2402502,Is the speaker in the bottom or in the top of the image?,bottom,Top,5.705641031265259
496,2330972,Does the mane have long length?,no,No,5.827310085296631
497,2338308,Which color does the nose have?,white,Gray,5.792741060256958
498,2320407,On which side is the backpack?,right,Right,5.818057060241699
499,2317439,Is the tennis racket in the top or in the bottom part?,top,Top,5.870890855789185
500,2326408,What is the tray made of?,plastic,Foil,5.839882135391235
501,1159778,Is the cabinet in the top part of the photo?,yes,Yes,5.9835920333862305
502,2371,Which color are the leaves?,purple,Red,5.755979061126709
503,2374309,What color is that counter top?,tan,White,5.903871059417725
504,2401618,Do the trees behind the giraffe look leafy and skinny?,no,No,5.792620897293091
505,2361858,What is the color of the hair?,black,Black,5.8889899253845215
506,713470,What color is the wood boat to the right of the glasses?,cream colored,Red,5.94539999961853
507,2365644,Do the suit and the shirt have a different colors?,yes,Yes,6.3388659954071045
508,2405354,Does the jersey look white?,no,No,6.774702072143555
509,2413212,On which side of the photo is the white truck?,right,Left,6.797982931137085
510,2334456,Which side is the backpack on?,left,Left,6.472322225570679
511,2342618,What do both the dress and the suit have in common?,color,Color,6.195646047592163
512,2375580,What color does that keyboard have?,black,White,5.88420295715332
513,2364161,What color is the vehicle that the boy is sitting on?,green,Black,6.106831073760986
514,2389957,Is the grass green or brown?,green,Green,5.8712828159332275
515,2401764,Are the children on the left or on the right part of the image?,left,Left,5.887365818023682
516,2336023,Is the container in the bottom or in the top part of the photo?,bottom,Bottom,5.903005123138428
517,2358723,On which side of the photo is the boy?,right,Right,5.792085886001587
518,2365505,Is the brown animal on the right side of the image?,no,No,5.960526704788208
519,221,On which side of the image is the wood fence?,right,Right,5.8518218994140625
520,2332188,Do you think the sky is overcast or clear?,overcast,Overcast,6.171174764633179
521,2414682,Do you think the jeans are purple?,yes,No,5.982503175735474
522,2399053,What is the man doing?,reading,Reading,6.011377811431885
523,2404130,Do the bun and the basket have a different colors?,yes,No,5.939938068389893
524,2373966,Does the glass by the sink appear to be real and clear?,yes,No,5.887739181518555
525,2363958,On which side of the picture is the wine glass?,right,Right,6.0359718799591064
526,2332891,How big is the zebra on the left side of the picture?,large,Large,5.956181049346924
527,2410041,What are the crates made of?,wood,Wood,6.0036022663116455
528,2378055,What is the color of the bag that is on the right of the photo?,white,White,5.854546070098877
529,2391960,"In which part of the photo is the boy, the bottom or the top?",bottom,Top,5.944138050079346
530,2376882,On which side are the ear buds?,left,Left,5.9704530239105225
531,2394981,On which side of the picture is the tower?,left,Left,5.860398769378662
532,2373609,Which color are the feathers?,gray,Black,5.999635934829712
533,2374595,The suit is of what color?,red,Orange,5.7901482582092285
534,2406002,On which side of the image is the chef?,left,Right,5.9704742431640625
535,2383239,Is the man in the top or in the bottom of the picture?,bottom,Bottom,5.916154146194458
536,2370435,On which side is the towel dispenser?,left,Left,5.936680793762207
537,2405590,Does the computer to the right of the container appear to be on?,yes,Yes,6.0044639110565186
538,2392147,Is the pan in the top part or in the bottom of the picture?,bottom,Bottom,6.018813848495483
539,2364725,Is the couch in the bottom part or in the top of the photo?,bottom,Bottom,6.149791240692139
540,2325180,Is the zebra's nose orange?,no,No,5.927767753601074
541,1669,What is the color of the computer that the monitor is on top of?,white,White,6.042374849319458
542,2355163,Does the wet coat look white?,no,No,5.894337177276611
543,2361871,How is the water?,calm,Rough,6.006904125213623
544,2341540,Is the scarf on the teddy bear brown and small?,yes,No,5.950731039047241
545,2368952,On which side of the picture is the player?,right,Left,5.85350489616394
546,2406789,Is the shirt white or blue?,blue,White,6.018038034439087
547,2329954,Are the sandals yellow or blue?,blue,Blue,5.883953809738159
548,1159352,Which side of the image is the couch on?,left,Right,6.125303745269775
549,2375394,On which side is the man?,left,Left,6.193035125732422
550,2368981,Are the shorts white?,no,No,6.140296936035156
551,2375234,The umbrella to the right of the people is of which color?,green,Green,6.050524711608887
552,1592713,On which side of the photo is the chair?,right,Right,6.013718128204346
553,2416648,Is the cup on the right or on the left of the image?,left,Right,6.076884984970093
554,150295,Is the cabin standing?,yes,Yes,5.886634826660156
555,2322153,Which color do you think the fence made of wood is?,brown,Brown,6.0642149448394775
556,2370484,On which side of the image is the man?,right,Right,5.886253833770752
557,2398401,Do you think the sky is cloudy?,yes,Yes,6.027688026428223
558,2374253,"In which part of the picture is the person, the bottom or the top?",bottom,Bottom,6.140265226364136
559,1437,Which side are the people on?,left,Left,5.9512622356414795
560,2400661,On which side of the picture is the cardboard container?,left,Right,6.064146041870117
561,2345428,Does the man appear to be sitting?,yes,No,5.936453819274902
562,2402492,What is the cat doing?,resting,Standing on laptop,6.289959907531738
563,2331654,Is the man in the bottom part or in the top of the picture?,bottom,Bottom,6.0349390506744385
564,2378230,Is this fire hydrant black or white?,white,Black,5.968425035476685
565,2383719,Does the jacket appear to be black?,yes,Yes,5.934212923049927
566,2397035,Of what color is the tent the shrubs are in front of?,green,White,5.852297067642212
567,2354467,Are the tomatoes in the top part or in the bottom of the image?,top,Top,6.004351854324341
568,2381915,Is the water both still and dark blue?,no,No,5.898713111877441
569,4488,Is the color of the skirt different than the floor?,no,Yes,6.359982252120972
570,2398287,Is the sky blue and cloudless?,yes,Yes,6.288207769393921
571,2407698,Is the pot made of the same material as the container?,yes,Yes,6.571389198303223
572,2404666,Is the shirt red?,no,No,6.580604076385498
573,2349483,Which side of the photo is the lamp on?,left,Right,6.2806150913238525
574,2399386,What is common to the planter and the jacket?,color,Color,6.488626956939697
575,2333298,What is the cupboard made of?,wood,Glass,6.473807334899902
576,1591822,What is the color of the shirt the man is wearing?,green,Gray,6.354946851730347
577,2386171,Which side of the photo is the man on?,right,Right,6.503324031829834
578,2386194,Is the hat white?,no,No,6.232732057571411
579,2327820,Is the fence in front of the grass mesh and green?,no,No,6.438689947128296
580,2368442,"Where in the image is the clock, on the right or on the left?",right,Right,6.385232925415039
581,2388405,What is common to the mask and the uniform?,color,Color,6.23173189163208
582,2378318,Is the path snowy or rocky?,rocky,Rocky,6.485822916030884
583,2348014,What is the shelf made of?,wood,Wood,6.2089362144470215
584,2401381,Is the laptop on the left side or on the right of the picture?,right,Right,6.416123151779175
585,2381387,What's the horse made of?,metal,Wood,6.484336853027344
586,2411104,On which side of the photo is the sheep?,right,Right,6.969488859176636
587,2365243,What is the color of the buses in the middle of the picture?,green,Green,6.6374547481536865
588,2343353,The bag on the right has what color?,black,Black,5.937702894210815
589,2347683,Which color does the appliance on the left side have?,white,White,4.334215879440308
590,2369833,On which side of the photo is the fence?,right,Right,4.33141303062439
591,2321676,"Which side is the dog on, the right or the left?",right,Right,4.332303047180176
592,2403854,Does the cow to the left of the other cows look huge and black?,no,No,4.402026891708374
593,2398108,What is the woman that is to the left of the man doing?,taking notes,Drinking,4.626817226409912
594,2406998,"What makes up that fence, mesh or iron?",mesh,Mesh,4.785031080245972
595,2379684,What is the person doing?,lying,Lying,4.9243152141571045
596,2417611,Are the glasses orange or black?,orange,Black,5.218272924423218
597,2404844,"What is the dog doing, jumping or sitting?",jumping,Jumping,95.91721892356873
598,2343545,Does the gas stove inside the kitchen have black color?,no,No,4.828005313873291
599,2323821,How long is the hair the man is with?,long,Short,4.3396100997924805
600,2357141,Which side of the image is the skateboard on?,left,Right,4.343058109283447
601,2403045,Which color do you think the shirt that the man is wearing is?,blue,Blue,4.341756820678711
602,2388805,"Where in the photograph is the player, in the top or in the bottom?",bottom,Bottom,4.387099981307983
603,2322975,Is the baseball baseball in the bottom or in the top?,top,Bottom,4.389162063598633
604,2411323,Does the smoke above the train look white and small?,no,No,4.3410420417785645
605,2369303,Is the rug to the left of the tap green or red?,green,Green,4.338360071182251
606,2381239,What color do you think the bus is?,white,White,4.3390538692474365
607,2396300,On which side of the photo is the person?,right,Right,4.3420960903167725
608,2386511,Does the person beside the cart look tall?,no,Yes,4.340484857559204
609,2374087,What color is the sign on the sidewalk?,red,Yellow,4.343425989151001
610,2405038,Are the animals all the same type?,no,No,4.3413379192352295
611,2387990,Is the bowl to the right of the placemat both wavy and full?,yes,No,4.343586206436157
612,2396447,Is the color of the bowl blue?,no,No,4.3520121574401855
613,2330960,Do the trees seem to be short and green?,no,No,4.340041160583496
614,2352377,Which side of the photo are the drinks on?,right,Left,4.39696192741394
615,2319662,Does the barn look metallic?,no,No,4.5070531368255615
616,2353217,What color is the necktie?,gray,Gray,4.721091270446777
617,150282,What color is the colorful coat?,pink,Pink,5.038739204406738
618,2377150,Is the cow the same color as the pole?,no,No,5.390074968338013
619,2362991,"Which material makes up the paved road, brick or cobblestone?",brick,Brick,5.87493896484375
620,2370077,Which color is the flower that is surrounded by the flower pot?,white,Yellow,6.235976934432983
621,2330002,Is the mouse pad on top of the desk white or black?,white,White,6.43020486831665
622,2401166,Does the happy person appear to be eating?,yes,Yes,7.057164907455444
623,2342838,"What color are the walls, blue or cream colored?",blue,Blue,7.152749061584473
624,2352226,Is the blue towel in the top part or in the bottom?,bottom,Bottom,7.120188236236572
625,2349976,On which side of the photo is the ball?,right,Right,7.299996852874756
626,2334386,How large is the food in the bottom of the photo?,large,Large,7.0556159019470215
627,2406693,What color is the umbrella in the middle?,white,White,6.629438877105713
628,2402643,Does the animal on the floor look tan and skinny?,yes,Yes,6.639125108718872
629,2406370,"What color is the shirt, orange or black?",orange,Orange,6.434338808059692
630,2403994,Is this a new oven?,no,Yes,6.235926151275635
631,2333060,On which side of the image is the cabinet?,right,Left,6.30598521232605
632,2320720,"On which side of the image is the truck, the right or the left?",left,Left,6.070570945739746
633,2361083,Are the giraffes on the left side or on the right of the picture?,right,Right,6.126572132110596
634,2321578,What color is the toilet?,white,White,6.051790714263916
635,2391600,Of what color is the bowl on top of the table?,white,Silver,5.946226119995117
636,2333800,Is the person on the right side?,no,No,6.04395318031311
637,2414832,Is the woman on the right side?,no,No,5.859647274017334
638,2340236,"On which side of the picture is the baseball, the right or the left?",right,Right,6.04082465171814
639,2360506,Does the shirt that is not short sleeved look red?,no,No,5.917694807052612
640,2325150,What is common to the flowers and the leaves?,color,Color,5.944366931915283
641,2408244,Is the gray shirt short or long?,short,Short,5.964953899383545
642,2323146,Does the signal light look red?,no,Yes,5.878022193908691
643,2408335,What color is the shirt the boy is wearing?,gray,Black,6.035555124282837
644,2410083,Is the color of the bench the same as the color of the sky?,yes,No,5.873970985412598
645,2359164,Which side of the image is the soap dish on?,left,Right,6.012730121612549
646,2388030,Does the sign on the pole have black color?,no,Yes,5.96085786819458
647,2331017,Is the tennis ball red or yellow?,yellow,Yellow,6.0058698654174805
648,2390743,What is the man doing?,skating,Skateboarding,6.180186986923218
649,2343920,Are all the animals of the same species?,no,No,5.9328718185424805
650,2340,Does the jacket look blue?,no,No,6.134884834289551
651,2344270,Does the pizza look fried?,yes,Yes,5.927261829376221
652,4912,The bedspread is of which color?,blue,Blue,6.08063817024231
653,2413817,Which color is that rope?,yellow,Black,6.067301988601685
654,2381562,The bananas on the left side are what color?,green,Green,5.960765838623047
655,2413251,Is the cardboard box open or closed?,open,Open,6.065629959106445
656,2363552,What is the fence near the family made of?,wood,Wood,5.886602878570557
657,2333915,Is the onion in the bottom of the image?,no,Yes,6.045564889907837
658,2263,Is the color of the van the same as the sign?,yes,No,6.210065841674805
659,2335787,What do the desk and the computer have in common?,color,Color,6.485757827758789
660,2369240,Is the suitcase on the left or on the right side of the photo?,left,Right,6.677762031555176
661,2377712,Which side is the blue box on?,left,Left,6.402491807937622
662,1593171,Is the clock in the top part of the picture?,yes,No,6.586451768875122
663,2337499,Is the cap green?,no,Yes,6.50335693359375
664,2392303,What is the dock made of?,metal,Metal,6.5486509799957275
665,2400267,Is the house on the left of the photo?,no,No,6.739601135253906
666,778,On which side of the image are the cars?,right,Right,6.51970100402832
667,2337454,Is the shirt red or gray?,gray,Gray,7.249441146850586
668,2381612,What color does the kite that is not short have?,yellow,Yellow,7.588358163833618
669,2352072,Is the fence behind the hedge made of wood or metal?,metal,Wood,6.792772054672241
670,347,Is the television on the right or on the left?,right,Right,6.638473033905029
671,2384422,What color are the trousers?,white,Brown,6.612518072128296
672,2401028,What material is used to make the cabinet to the right of the screen?,glass,Glass,6.2750771045684814
673,2408532,Is the towel to the left of the cat black or yellow?,yellow,Black,6.419874906539917
674,2366877,"In which part of the photo is the car, the bottom or the top?",top,Top,6.291782855987549
675,2401497,What color is the metal chain?,brown,Blue,6.193002939224243
676,2350907,What is the gender of the skier in the bottom of the picture?,female,Male,6.391946792602539
677,2410230,"Which material is used to make the man hat, straw or plastic?",straw,Straw,6.293239116668701
678,150444,What do both the motorbike and the kiosk have in common?,color,Color,6.512994050979614
679,2404275,"Where in the image is the boy, on the right or on the left?",left,Left,6.348424911499023
680,2388100,What color is the shirt that the man is wearing?,purple,White,6.306433916091919
681,2325895,Does that truck have white color?,yes,Yes,6.477774143218994
682,2321065,Is the book in the bottom of the photo?,no,No,6.280827760696411
683,2405707,On which side of the picture is the green blanket?,right,Right,6.467203140258789
684,2398924,Is the woman on the left of the image?,yes,No,6.443678855895996
685,2380680,Is the brown hair straight or curly?,straight,Curly,6.408815145492554
686,2383996,Is the jacket orange or gray?,orange,Orange,6.645622730255127
687,2411476,Of which shape is the mirror in the top of the photo?,rectangular,Square,6.374064207077026
688,2329386,Does the vehicle that is to the left of the truck look red?,yes,Yes,6.455322027206421
689,2344346,Is the white device above the star off or on?,on,Off,6.476495027542114
690,2386441,"On which side of the picture is the white animal, the right or the left?",right,Right,6.26656699180603
691,2396616,Does the toilet to the right of the dresser look blue?,no,No,6.711856842041016
692,2346104,What is the brown chair made of?,leather,Leather,6.482674837112427
693,2362212,What color is that quilt?,pink,Brown,6.417454719543457
694,2359700,On which side of the picture are the skis?,left,Left,6.438746929168701
695,2356502,Of what color is the jacket?,black,Black,6.2395031452178955
696,1159758,What color is the elephant on the platform?,blue,Blue,6.51654577255249
697,2352130,What is the dog that looks brown and tan doing?,resting,Sleeping,6.457392930984497
698,2341998,Are the shorts yellow or blue?,blue,Blue,6.402029752731323
699,2395567,What color do you think are the trousers the umpire is wearing?,gray,White,6.502722978591919
700,2409049,What is the bench made of?,wood,Wood,6.372453212738037
701,2392660,Which side of the picture is the coffee on?,right,Left,6.662250995635986
702,2411263,Which color are the shorts that he is wearing?,khaki,Tan,6.4449639320373535
703,2400536,Does the shirt have orange color?,yes,No,6.6353771686553955
704,2347211,Is the rope in the bottom or in the top of the photo?,bottom,Bottom,7.08213210105896
705,362,Does the car to the right of the other car have blue color?,no,No,6.475040912628174
706,2395268,Which side of the photo are the jars on?,left,Left,5.269001007080078
707,2331930,Which side of the image are the children on?,right,Right,4.3344738483428955
708,2356089,What is the color of the fruits to the right of the pineapple?,green,Orange,4.335737943649292
709,2393639,Is the sky cloudy and blue?,yes,No,4.411481142044067
710,2339327,Is that faucet silver and small?,no,No,4.774550199508667
711,2386383,Is he a tennis player?,no,No,4.949460029602051
712,2323553,Which side is the metal shelf on?,left,Right,5.398210048675537
713,713018,What is the boy that is to the left of the woman doing?,bending,Waiting,5.650835275650024
714,2393683,What color are the shorts?,black,Dark blue,594.5625650882721
715,2326912,Is the book in the bottom part of the picture?,no,No,5.4590020179748535
716,2414595,Do the animals have different types?,yes,No,4.347249269485474
717,2399798,On which side is the woman?,right,Right,4.3509461879730225
718,2390370,"Where in this photograph is the large planter, in the top or in the bottom?",bottom,Top,4.343024015426636
719,2327760,Is the woman in the top part?,yes,Yes,4.33605694770813
720,2417463,Is the hat of the bear gray?,no,Yes,4.344668865203857
721,2383197,Which side of the image is the bread on?,left,Left,4.344841003417969
722,2417463,Is the fence in the bottom of the picture?,no,Yes,4.1209189891815186
723,2370590,On which side of the picture is the lamp?,left,Left,4.341267108917236
724,2378689,Is the color of the helmet different than the bat?,yes,No,4.341912031173706
725,2379118,"Who is older, the lady or the boy?",lady,Lady,4.338783025741577
726,2406428,Is the house small or large?,large,Large,4.340233325958252
727,2380504,Are the goggles different in color than the gloves?,no,Yes,4.341341733932495
728,107913,On which side of the photo is the red vegetable?,left,Left,4.339457988739014
729,2370488,Is the green grass dried or wet?,dried,Wet,4.389129877090454
730,2403341,What is the dog doing?,walking,Walking,4.381550073623657
731,2389372,On which side is the pillow?,left,Left,4.3375489711761475
732,2349029,What color do you think the horse that is on the right of the image is?,brown,Brown,4.345051050186157
733,2317654,Is the tail that looks long blue or red?,blue,Blue,4.335940837860107
734,2406719,Which kind of material is the device on the bed made of?,metal,Metal,4.340685844421387
735,2326119,Is the mailbox on the left side or on the right?,left,Right,4.331983804702759
736,2317919,Are the pants red or white?,white,White,4.3358471393585205
737,2409911,On which side of the photo is the chimney?,left,Right,4.338703155517578
738,713860,Which color is the vest the man is wearing?,tan,White,4.340108871459961
739,2330419,What color are the flowers by the road?,red,There are no flowers by the road in this image.,4.814043998718262
740,2396671,Does the appliance that looks old look old fashioned and black?,no,Yes,4.335161924362183
741,2338855,What is the material of the cabin?,wood,Wood,4.3423919677734375
742,2405163,On which side of the image is the bag?,right,Right,4.336871862411499
743,2386067,What is the color of this table?,black,Black,4.337462902069092
744,2366034,On which side of the picture is the clock?,left,Right,4.337400913238525
745,2382923,What is the color of the jersey the batter is in?,blue,Blue,4.339550971984863
746,2366091,Is the water both calm and blue?,no,No,4.345853805541992
747,2390647,What color is the bowl that is made of metal?,silver,Silver,4.340435028076172
748,2395605,What color are the containers that are on the right?,black,Black,4.33988094329834
749,2399886,Is the table tan or dark?,dark,Dark,4.341024160385132
750,2064,On which side is the mirror?,left,Left,4.4390342235565186
751,2318163,On which side of the picture is the long paddle?,right,Left,4.34224009513855
752,2410668,"What color is the surfboard, blue or red?",blue,Blue,4.608041048049927
753,2407473,What's he doing?,lying,Sleeping,4.713689804077148
754,2329135,Does that door look open?,yes,Yes,5.300354719161987
755,2327025,What color is the hair?,blond,Black,5.466408967971802
756,2359635,What color do you think the house is?,green,White,5.519325017929077
757,2318694,Which color is the dress?,white,White,5.499943256378174
758,2387117,Is the door made of glass?,yes,No,5.871612310409546
759,2405070,Which side is the small bird on?,right,Right,5.80643105506897
760,2337624,Is the lamp on the left part or on the right?,left,Right,5.973265171051025
761,2400599,"Where in the photograph is the car, on the right side or on the left?",right,Right,5.913405179977417
762,2371719,Which color does the grass have?,brown,Brown,5.862060070037842
763,2400673,Does the man to the left of the girl appear to be eating?,yes,No,5.9765660762786865
764,2401037,Do the carriage and the train have the same color?,no,No,5.784313917160034
765,2382178,What color do the cows that are not thin have?,white,Brown,5.898391962051392
766,2375788,Which color is the mustard?,brown,Yellow,5.684305191040039
767,2401553,On which side of the picture is the wood fence?,right,Right,5.814694881439209
768,2381940,What color does the shirt have?,blue,Gray,5.705138921737671
769,2399886,Does the plate to the left of the other plate have red color?,no,No,5.913268327713013
770,2387346,Which color is the stormy sky?,gray,White,7.267174005508423
771,2375761,Is the pizza slice on the right side or on the left?,right,Right,8.10054326057434
772,3494,On which side of the image is the cup?,left,Right,6.455461740493774
773,2362361,Which side of the photo is the fence on?,left,Right,6.1012279987335205
774,2409147,What is the color of the rope in the top of the image?,green,Green,5.831424951553345
775,2399101,Does the white sheep seem to be standing?,no,No,5.929646968841553
776,2376039,What are the doors made of?,wood,Wood,5.742598295211792
777,2360703,Is the mat on the right or on the left?,right,Left,6.244363069534302
778,2391413,Do the cap and the pole have a different colors?,no,No,5.877817153930664
779,1159879,Is the fence short or tall?,tall,Tall,5.667187929153442
780,2353125,Which side of the picture is the bicycle on?,left,Left,5.620560169219971
781,2395949,What is the man on the skateboard doing?,skateboarding,Skating,5.5398850440979
782,2369338,Are the people in the bottom?,yes,Yes,5.621246814727783
783,2320739,What is the pattern of the dress the baby is wearing?,dotted,Solid,5.504894971847534
784,2363853,On which side of the picture is the bag?,left,Right,5.635045051574707
785,2325849,What color is the shirt?,white,White,5.447208881378174
786,2395165,What color are the jeans?,blue,Blue,5.631505250930786
787,2400084,Which side of the image is the fire hydrant on?,left,Right,5.505943059921265
788,2327939,Does the school bus have a different color than the flower?,yes,Yes,5.74552321434021
789,2370783,Is the car on the left or on the right?,left,Right,5.578248977661133
790,2324845,Do the trunks have yellow color?,no,No,5.666116237640381
791,2390938,How long is the cooking utensil above the receipt?,long,0 seconds,5.7070417404174805
792,2405332,Is the speaker on the right side of the image?,yes,Yes,5.664914131164551
793,2402718,Which side of the photo is the metal fork on?,left,Left,5.6952080726623535
794,2318332,Which side of the image is the car on?,left,Right,5.6307692527771
795,2411141,What material was used to make the pitcher?,metal,Glass,5.7520458698272705
796,2368908,Is the backpack in the top or in the bottom of the picture?,bottom,Bottom,5.658373117446899
797,2324774,Is the straw broom on the right side?,no,Yes,5.820152997970581
798,2408602,What is the fence made of?,wood,Brick,5.680552005767822
799,2348606,Is the bread box on the right side?,no,No,5.809682130813599
800,2396750,Which type of material is the bottle of beer made of?,glass,Glass,5.717840909957886
801,2405889,Are the trunks black?,yes,No,5.913861036300659
802,2324597,Is the boy on the left side?,yes,No,6.247877836227417
803,2371222,Is the color of the necktie the same as the napkin?,no,No,5.737928152084351
804,2384051,Is the window hard?,yes,No,5.854887962341309
805,2372070,"Where in the image is the clock, in the bottom or in the top?",bottom,Top,5.6714489459991455
806,2329708,What color is the short hair?,black,Black,5.784519910812378
807,2372032,How clean are the white shoes?,dirty,Dirty,5.764104127883911
808,2401477,What is the tea kettle made of?,porcelain,Metal,5.78189492225647
809,2368442,What is the color of the floor?,blue,Blue,5.7746570110321045
810,2389735,On which side of the picture is the silver knife?,right,Right,5.73390007019043
811,2401550,Is the air conditioner on the right side or on the left?,right,Left,5.823110103607178
812,2368877,What color do you think the umbrella the man is holding is?,green,Blue,5.657347917556763
813,2400971,Does the cap look black?,yes,No,5.83092474937439
814,2358464,Is the bowl white or brown?,brown,Brown,5.709269762039185
815,2379856,Does the person's hat have white color?,yes,Yes,7.3864030838012695
816,2391868,What's the woman doing?,skiing,Skiing,7.462051153182983
817,2345780,Is the color of the river different than the sky?,no,No,7.095977067947388
818,2373736,Are the men that are to the left of the other men looking down or talking?,looking down,Talking,6.786395788192749
